"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"6","Phi(~Geschlecht)p(~Geschlecht)",6,418.391489021104,0,0.356549526680385,406.391489021104,0
"3","Phi(~1)p(~Geschlecht)",4,418.953224379734,0.561735358630528,0.269240619391932,410.953224379734,0
"2","Phi(~1)p(~Initials)",11,420.004082912394,1.61259389128986,0.159202377816165,398.004082912394,0
"4","Phi(~Geschlecht)p(~1)",4,420.883920336858,2.49243131575446,0.102540464583345,412.883920336858,0
"5","Phi(~Geschlecht)p(~Initials)",13,421.098448455536,2.70695943443195,0.0921109139898423,395.098448455536,0
"1","Phi(~1)p(~1)",2,424.117674330372,5.72618530926832,0.0203560975383306,420.117674330372,0
"21","Phi(~Geschlecht)p(~time)",25,419.011993738246,0,0.562337076149704,369.011993738246,0
"11","Phi(~1)p(~time)",23,420.045661676458,1.03366793821112,0.335381094447025,374.045661676458,0
"31","Phi(~time)p(~time)",44,422.420732564714,3.40873882646764,0.102281829403271,334.420732564714,0
"32","Phi(~time)p(~Geschlecht)",25,400.691161895014,0,0.98302113720885,350.691161895014,0
"12","Phi(~time)p(~1)",23,408.971817168245,8.28065527323071,0.015647372101607,362.971817168245,0
"22","Phi(~time)p(~Initials)",32,413.899824872777,13.208662977763,0.00133149068954323,349.899824872777,0
"13","Phi(~1)p(~year)",23,438.335273598509,0,0.542829458503413,392.335273598509,0
"23","Phi(~Geschlecht)p(~year)",25,438.678759563344,0.343485964835168,0.457168583907865,388.678759563344,0
"33","Phi(~year)p(~year)",44,463.400947608244,25.0656740097347,1.95758872197292e-06,375.400947608244,0
"14","Phi(~1)p(~Temp)",94,474.150609681604,0,1,286.150609681604,0
"15","Phi(~Temp)p(~1)",94,483.018850073305,0,1,295.018850073305,0
"16","Phi(~Geschlecht * Temp)p(~1)",182,619.483046786216,0,1,255.483046786216,0
