"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence","taxa"
"2","Phi(~Geschlecht)p(~time)",26,540.102951528103,0,0.99999975344708,488.102951528103,0,"Rohrschwirl"
"1","Phi(~1)p(~time)",24,570.53436624297,30.4314147148669,2.465483777778e-07,522.53436624297,0,"Rohrschwirl"
"3","Phi(~time)p(~time)",46,592.338075476243,52.23512394814,4.5424153922621e-12,500.338075476243,0,"Rohrschwirl"
"21","Phi(~Geschlecht)p(~time)",25,419.011993738246,0,0.562337076149704,369.011993738246,0,"Blaumeise"
"11","Phi(~1)p(~time)",23,420.045661676458,1.03366793821112,0.335381094447025,374.045661676458,0,"Blaumeise"
"31","Phi(~time)p(~time)",44,422.420732564714,3.40873882646764,0.102281829403271,334.420732564714,0,"Blaumeise"
"22","Phi(~Geschlecht)p(~time)",26,262.826754102971,0,0.99988654020451,210.826754102971,0,"Feldsperling"
"12","Phi(~1)p(~time)",24,280.994652038769,18.1678979357983,0.000113459747203932,232.994652038769,0,"Feldsperling"
"32","Phi(~time)p(~time)",46,310.334299676573,47.5075455736027,4.82856716237096e-11,218.334299676573,0,"Feldsperling"
"23","Phi(~Geschlecht)p(~time)",25,242.917717738493,0,0.916989496800884,192.917717738493,0,"Amsel"
"13","Phi(~1)p(~time)",24,247.72202189629,4.8043041577973,0.0830085769680252,199.72202189629,0,"Amsel"
"33","Phi(~time)p(~time)",46,269.064289750766,26.146572012273,1.92623109108658e-06,177.064289750766,0,"Amsel"
"14","Phi(~1)p(~time)",24,132.552884501285,0,0.868698749914969,84.5528845012851,0,"Gartengrasmücke"
"24","Phi(~Geschlecht)p(~time)",26,136.331889166283,3.77900466499807,0.131301219576186,84.3318891662832,0,"Gartengrasmücke"
"34","Phi(~time)p(~time)",46,166.881865166549,34.3289806652639,3.0508844572755e-08,74.881865166549,0,"Gartengrasmücke"
"25","Phi(~Geschlecht)p(~time)",26,359.445584443487,0,0.882867332663524,307.445584443487,0,"Drosselrohrsänger"
"15","Phi(~1)p(~time)",24,363.485327527544,4.03974308405765,0.117132222219768,315.485327527544,0,"Drosselrohrsänger"
"35","Phi(~time)p(~time)",46,388.44628241621,29.0006979727237,4.45116708816711e-07,296.44628241621,0,"Drosselrohrsänger"
"26","Phi(~Geschlecht)p(~time)",26,135.991464095241,0,0.993676760296194,83.9914640952408,0,"Fitis"
"16","Phi(~1)p(~time)",24,146.105824647648,10.1143605524072,0.00632323969456098,98.105824647648,0,"Fitis"
"36","Phi(~time)p(~time)",46,186.792680984588,50.8012168893471,9.24487510417953e-12,94.792680984588,0,"Fitis"
"27","Phi(~Geschlecht)p(~time)",26,1275.11653316729,0,0.998550453644254,1223.11653316729,0,"Schilfrohrsänger"
"37","Phi(~time)p(~time)",46,1288.19470973619,13.0781765689082,0.00144371029926254,1196.19470973619,0,"Schilfrohrsänger"
"17","Phi(~1)p(~time)",24,1299.21654246918,24.1000093018909,5.83605648338005e-06,1251.21654246918,0,"Schilfrohrsänger"
"28","Phi(~Geschlecht)p(~time)",26,435.110612193024,0,0.949905127124127,383.110612193024,0,"Goldammer"
"18","Phi(~1)p(~time)",24,441.154088809278,6.04347661625491,0.0462760156009565,393.154088809278,0,"Goldammer"
"38","Phi(~time)p(~time)",46,446.14343394952,11.032821756496,0.0038188572749169,354.14343394952,0,"Goldammer"
"29","Phi(~Geschlecht)p(~time)",26,4558.10415332197,0,0.999994718845304,4506.10415332197,0,"Rohrammer"
"19","Phi(~1)p(~time)",24,4582.69978830475,24.5956349827775,4.56166544223502e-06,4534.69978830475,0,"Rohrammer"
"39","Phi(~time)p(~time)",46,4586.39359125322,28.2894379312474,7.19489253503511e-07,4494.39359125322,0,"Rohrammer"
"210","Phi(~Geschlecht)p(~time)",26,5580.00261046486,0,0.99999999999999,5528.00261046486,0,"Teichrohrsänger"
"310","Phi(~time)p(~time)",46,5644.37649634891,64.373885884047,1.05048121574695e-14,5552.37649634891,0,"Teichrohrsänger"
"110","Phi(~1)p(~time)",24,5655.83410505127,75.8314945864095,3.41507442961351e-17,5607.83410505127,0,"Teichrohrsänger"
"111","Phi(~1)p(~time)",14,147.233630685889,0,0.66813396667206,119.233630685889,0,"Weißsterniges Blaukehlchen"
"211","Phi(~Geschlecht)p(~time)",16,148.63471444537,1.40108375948103,0.331605769670681,116.63471444537,0,"Weißsterniges Blaukehlchen"
"311","Phi(~time)p(~time)",26,162.934728281378,15.7010975954887,0.000260263657258775,110.934728281378,0,"Weißsterniges Blaukehlchen"
"312","Phi(~time)p(~time)",46,6031.79083601443,0,1,5939.79083601443,0,"Bartmeise"
"112","Phi(~1)p(~time)",24,6168.20960767404,136.418771659608,2.38253955809847e-30,6120.20960767404,0,"Bartmeise"
"212","Phi(~Geschlecht)p(~time)",26,6168.25267121706,136.461835202636,2.33178761114715e-30,6116.25267121706,0,"Bartmeise"
