"","...1","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence","taxa"
"1",1,"Phi(~time)p(~time)",46,6031.79083608114,0,1,5939.79083608114,0,"Bartmeise"
"2",2,"Phi(~time)p(~time)",46,5644.37649640136,0,1,5552.37649640136,0,"Teichrohrsänger"
"3",3,"Phi(~time)p(~time)",38,122.105906492014,0,1,46.1059064920136,0,"Schwanzmeise"
"4",4,"Phi(~time)p(~time)",44,422.420732565013,0,1,334.420732565013,0,"Blaumeise"
"5",5,"Phi(~time)p(~time)",46,592.338075476232,0,1,500.338075476232,0,"Rohrschwirl"
"6",6,"Phi(~time)p(~time)",46,310.334299675593,0,1,218.334299675593,0,"Feldsperling"
"7",7,"Phi(~time)p(~time)",46,186.792680985502,0,1,94.7926809855022,0,"Fitis"
"8",8,"Phi(~time)p(~time)",46,4586.39359125482,0,1,4494.39359125482,0,"Rohrammer"
"9",9,"Phi(~time)p(~time)",46,166.881865166713,0,1,74.8818651667125,0,"Gartengrasmücke"
"10",10,"Phi(~time)p(~time)",46,446.143433948427,0,1,354.143433948427,0,"Goldammer"
"11",11,"Phi(~time)p(~time)",46,388.446282464508,0,1,296.446282464508,0,"Drosselrohrsänger"
"12",12,"Phi(~time)p(~time)",46,1288.1947097462,0,1,1196.1947097462,0,"Schilfrohrsänger"
"13",13,"Phi(~time)p(~time)",26,162.93472828134,0,1,110.93472828134,0,"Weißsterniges Blaukehlchen"
"14",14,"Phi(~time)p(~time)",46,269.064289750766,0,1,177.064289750766,0,"Amsel"
